participant_id,timestamp_utc,phase,post_id,was_seen,liked,response,correct,confidence,dwell_time_sec,feed_position,category,has_face,has_text,colorfulness,visual_complexity
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:28.911158,feed,image11,1.0,0.0,,,,5.735,1.0,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:31.308972,feed,image5,1.0,1.0,,,,2.398,2.0,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:34.577696,feed,image4,1.0,1.0,,,,3.269,3.0,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:36.541807,feed,image6,1.0,0.0,,,,1.964,4.0,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:38.542766,feed,image7,1.0,1.0,,,,2.001,5.0,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:40.693229,feed,image12,1.0,0.0,,,,2.15,6.0,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:42.356843,feed,image2,1.0,1.0,,,,1.663,7.0,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:45.877225,feed,image8,1.0,1.0,,,,3.52,8.0,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:51.437811,distractor,,,,Coffee,,,,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:57:57.262329,memory,image4,1.0,,1,1.0,5.0,5.824,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:01.713664,memory,image9,0.0,,0,1.0,3.0,4.451,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:03.801861,memory,image11,1.0,,1,1.0,3.0,2.088,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:06.879468,memory,image5,1.0,,1,1.0,3.0,3.077,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:08.824471,memory,image7,1.0,,1,1.0,3.0,1.945,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:15.092878,memory,image8,1.0,,1,1.0,3.0,6.268,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:17.326722,memory,image10,0.0,,0,1.0,3.0,2.234,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:19.411504,memory,image3,0.0,,0,1.0,3.0,2.085,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:21.647229,memory,image12,1.0,,1,1.0,3.0,2.236,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:23.477334,memory,image2,1.0,,1,1.0,3.0,1.83,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:25.477087,memory,image6,1.0,,1,1.0,3.0,2.0,,,,,,
cf1ed6cf-0067-420c-bfc5-5ed37ff9be01,2026-04-20T18:58:28.143740,memory,image1,0.0,,0,1.0,3.0,2.667,,,,,,
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:51:06.128088,feed,ocean_dark,1.0,1.0,,,,5.549,1.0,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:51:09.583575,feed,eiffel_dark,1.0,1.0,,,,3.455,2.0,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:04.504250,feed,beach,1.0,0.0,,,,54.921,3.0,travel,1.0,0.0,unknown,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:06.572250,feed,lighthouse_brighter,1.0,0.0,,,,2.068,4.0,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:08.897196,feed,sunset_noperson,1.0,0.0,,,,2.325,5.0,travel,0.0,0.0,unknown,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:11.743696,feed,lighthouse_bright,1.0,0.0,,,,2.846,6.0,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:14.617198,feed,forest_dark,1.0,0.0,,,,2.873,7.0,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:17.749330,feed,lighthouse_darker,1.0,0.0,,,,3.132,8.0,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:20.832864,feed,trees_bright,1.0,0.0,,,,3.083,9.0,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:23.262309,feed,ocean_bright,1.0,1.0,,,,2.429,10.0,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:27.514372,distractor,,,,Coffee,,,,,,,,,
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:32.429995,memory,ocean_bright,1.0,,0,0.0,3.0,4.916,,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:37.568801,memory,lighthouse_bright,1.0,,1,1.0,3.0,5.139,,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:40.925077,memory,sunset_person,0.0,,1,0.0,3.0,3.356,,travel,1.0,0.0,unknown,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:44.802796,memory,trees_dark,0.0,,0,1.0,3.0,3.878,,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:50.563321,memory,forest_bright,0.0,,1,0.0,3.0,5.76,,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:52:58.096560,memory,lighthouse_darker,1.0,,0,0.0,3.0,7.533,,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:53:01.830839,memory,trees_bright,1.0,,1,1.0,3.0,3.734,,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:53:07.479646,memory,eiffel_bright,0.0,,1,0.0,3.0,5.649,,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:53:13.106156,memory,ocean_dark,1.0,,1,1.0,3.0,5.626,,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:53:17.805753,memory,eiffel_dark,1.0,,1,1.0,3.0,4.7,,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:53:23.913567,memory,lighthouse_brighter,1.0,,0,0.0,3.0,6.108,,travel,0.0,0.0,bright,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:53:27.656537,memory,sunset_noperson,1.0,,1,1.0,3.0,3.743,,travel,0.0,0.0,unknown,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:53:32.316241,memory,forest_dark,1.0,,1,1.0,3.0,4.66,,travel,0.0,0.0,dark,unknown
c6837e46-fa6f-4b38-a30e-15abc072f7f4,2026-04-22T20:53:35.662370,memory,beach,1.0,,0,0.0,3.0,3.346,,travel,1.0,0.0,unknown,unknown
